stocks,weights
000002.SZ,6.584983153285546e-08
000004.SZ,0.00043457797022642124
000006.SZ,-9.647244946204326e-09
000008.SZ,6.439114770611316e-09
000009.SZ,4.1942897838577405e-08
000010.SZ,0.00039609195321306295
000011.SZ,-2.182477602303726e-08
000012.SZ,-3.822855778735454e-08
000014.SZ,3.3871364988994273e-07
000016.SZ,0.00019336486252575035
000017.SZ,0.0004539865859585634
000019.SZ,1.285112092742383e-08
000020.SZ,0.0003288989118735126
000021.SZ,2.4753443819572347e-06
000025.SZ,4.41586998632004e-07
000026.SZ,1.0512707838683625e-07
000027.SZ,-1.9161008366442803e-08
000028.SZ,3.606126967766962e-08
000029.SZ,9.000579236555503e-08
000030.SZ,0.00026518733861260904
000031.SZ,0.00037836760224618234
000032.SZ,0.0002764568503706849
000034.SZ,1.409243037869227e-06
000035.SZ,1.3939654115359277e-07
000036.SZ,3.973740455456335e-07
000037.SZ,1.6813839595247671e-07
000039.SZ,0.00030506589258601945
000042.SZ,0.001349669500701483
000045.SZ,0.0003187270293804877
000048.SZ,2.4763751408360996e-06
000049.SZ,2.308075464065761e-07
000050.SZ,-2.9619909362613432e-08
000055.SZ,5.146989497695712e-07
000056.SZ,8.872913163706535e-07
000058.SZ,5.04618079311878e-06
000059.SZ,0.0002420774473232889
000060.SZ,-4.958077664278492e-08
000061.SZ,1.0704088651085105e-07
000062.SZ,9.587430193296379e-05
000063.SZ,2.0307948760252316e-08
000065.SZ,1.0940290035962595e-05
000066.SZ,5.810911357389786e-05
000068.SZ,2.157928420747408e-07
000069.SZ,0.0011964727989530453
000078.SZ,8.681195386047999e-08
000088.SZ,3.976268199501774e-08
000089.SZ,-1.0472749483707933e-07
000090.SZ,1.48462573394743e-07
000096.SZ,1.6397318795548363e-07
000099.SZ,0.0013741251271740683
000100.SZ,0.00011640088650148974
000151.SZ,1.1116661528466919e-07
000153.SZ,1.1103553011532883e-05
000155.SZ,5.5007775055515945e-08
000156.SZ,0.0009078383515406384
000157.SZ,0.00036130504865173246
000158.SZ,0.0003021175950840224
000159.SZ,7.326294184019305e-07
000301.SZ,1.6677272620226087e-07
000333.SZ,7.204032291536965e-06
000338.SZ,0.0007544952064189529
000400.SZ,8.117474963252609e-08
000401.SZ,0.00025708596877280026
000402.SZ,0.002566381234560164
000403.SZ,0.00024249418707992038
000404.SZ,0.00014034412334257835
000407.SZ,9.133738930126923e-08
000408.SZ,6.195017378913926e-05
000409.SZ,0.0003497603682928147
000410.SZ,2.241288343143237e-06
000411.SZ,4.6788793449274687e-07
000415.SZ,4.28411528150442e-08
000417.SZ,1.2240547970329133e-09
000419.SZ,5.108133696179124e-07
000420.SZ,4.561704923198641e-06
000421.SZ,1.0479443146479438e-06
000422.SZ,3.357474620227543e-07
000423.SZ,0.001950813773436414
000425.SZ,8.770724247400561e-07
000426.SZ,9.312524421245316e-06
000428.SZ,5.51920675911466e-07
000429.SZ,3.9617288557180496e-07
000430.SZ,7.542945114263683e-08
000488.SZ,2.108822275726315e-07
000498.SZ,1.4749167360655477e-07
000501.SZ,9.908460375930067e-08
000503.SZ,0.00013505477341014077
000504.SZ,3.1311136064369983e-06
000505.SZ,0.0001537624691995222
000507.SZ,4.970806937822944e-08
000509.SZ,0.00014347027197428948
000510.SZ,2.3093801573829895e-05
000513.SZ,3.339283509222216e-07
000514.SZ,0.00028144468573454423
000516.SZ,0.00031338369934664643
000517.SZ,2.7687621141882687e-07
000518.SZ,0.00036590838048768543
000519.SZ,0.0001903288921482394
000520.SZ,0.00037179049438035966
000521.SZ,4.5158129692808525e-05
000523.SZ,2.8854384241457326e-07
000524.SZ,8.984323347866819e-07
000526.SZ,2.0738242877987803e-05
000528.SZ,1.5411792552092065e-07
000529.SZ,7.466357426348113e-05
000530.SZ,3.540954678200069e-07
000531.SZ,7.108849563467033e-08
000532.SZ,4.5236166575597215e-07
000533.SZ,0.00012381524048502048
000534.SZ,5.172615173342654e-07
000536.SZ,2.1286967212349887e-05
000537.SZ,1.3404024535336384e-06
000538.SZ,1.3425751824900911e-07
000539.SZ,1.261542622574201e-07
000541.SZ,6.929746367446926e-07
000543.SZ,0.00021481565892220042
000544.SZ,1.2979015426258937e-07
000545.SZ,7.587057787879713e-06
000546.SZ,0.00011518777569292617
000547.SZ,4.893165933843241e-06
000548.SZ,2.42819802755976e-05
000550.SZ,3.074431827191986e-07
000551.SZ,3.4761114434452705e-07
000552.SZ,0.00036156194384700683
000553.SZ,6.750336419449397e-07
000554.SZ,4.787020358564985e-07
000555.SZ,0.001053777435682241
000558.SZ,3.512015251022803e-05
000559.SZ,3.938794123814259e-09
000560.SZ,6.746996124770519e-08
000561.SZ,9.718186660451733e-06
000565.SZ,9.918860645586337e-07
000566.SZ,3.087684646183407e-07
000567.SZ,0.00013857442576546225
000568.SZ,0.00017272946522718996
000571.SZ,4.368190871510729e-07
000572.SZ,7.470298849736942e-06
000573.SZ,0.0003055220553173686
000576.SZ,0.00020666657721677472
000581.SZ,3.6628318261784137e-07
000582.SZ,9.15150896685514e-08
000586.SZ,0.0005296272580480864
000589.SZ,3.317528240613327e-07
000590.SZ,0.0005530145465819708
000591.SZ,0.00014916335399258712
000592.SZ,0.00022734693929318052
000593.SZ,0.00023421387207556076
000595.SZ,3.888246351381451e-06
000596.SZ,4.495315225657028e-07
000597.SZ,5.133238363769998e-06
000598.SZ,8.838102286361443e-08
000599.SZ,3.2429645845699e-07
000600.SZ,0.00014369331284908227
000601.SZ,1.9382515592665477e-07
000603.SZ,2.923708895702724e-05
000605.SZ,9.052803375581511e-07
000607.SZ,0.00033938263866979554
000608.SZ,0.00037262094461089666
000609.SZ,7.13177977473463e-08
000610.SZ,2.537799677353683e-07
000612.SZ,0.0002841331160457864
000617.SZ,2.8770530945523956e-07
000619.SZ,7.041503887669968e-05
000620.SZ,8.14958931987474e-06
000623.SZ,3.165000095421302e-07
000625.SZ,1.3426954946471491e-07
000626.SZ,0.00017019756594486123
000628.SZ,0.00032235062295089855
000629.SZ,2.154951842415518e-06
000630.SZ,0.00015961020258816786
000631.SZ,8.870063554779403e-05
000632.SZ,0.00010536507787157723
000633.SZ,0.0002869195865802704
000635.SZ,0.0004979577655411186
000636.SZ,2.6664626086089433e-07
000638.SZ,0.00042619834416627705
000639.SZ,8.272820156712567e-05
000650.SZ,2.180090233989089e-06
000651.SZ,8.602465007752647e-05
